date,open,high,low,close,volume
2024-10-22,155.1,157.92,158.97,154.62,4811908.374048
2024-10-21,163.29,155.04,163.83,153.26,7290186.0037228344
2024-10-20,160.54,163.52,163.57,158.93,3843895.5023072501
2024-10-19,159.69,160.58,162.68,157.68,4109026.0446384092
2024-10-18,157.86,159.69,164.78,156.94,8367522.5362136205
2024-10-17,155.83,157.8,159.38,154.12,6084417.2338994206
2024-10-16,153.3,155.78,159.65,153.05,4467161.6665546282
2024-10-15,156.99,153.27,159.3,151.35,6036725.0453449526
2024-10-14,148.79,156.8,158.88,148.47,5097871.068347
2024-10-13,150.36,148.81,152.67,148.22,2723063.540999497
2024-10-12,152.03,150.45,154.42,150.09,4561908.229728387
2024-10-11,153.08,152.02,157.29,150.25,6198964.76997631
2024-10-10,147.35,153.13,154.41,146.78,5893920.497511
2024-10-09,149.25,147.43,154.77,146.09,5013791.925141
2024-10-08,144.43,149.29,152.66,143.91,5874062.829297
2024-10-07,147.91,144.61,148.83,143.91,4391865.295283
2024-10-06,152.89,147.95,155.26,146.52,5175878.564536
2024-10-05,148.76,152.9,155.83,148.5,5405459.0100035328
2024-10-04,144.19,148.68,151.24,142.97,7218855.123893195
2024-10-03,136.73,144.12,145.35,135.19,8189051.480967
2024-10-02,144.64,136.64,149.45,135,15467745.448782
2024-10-01,154.42,144.73,155.17,139.47,11239008.419357
2024-09-30,152.8,154.4,156.45,149.48,8580073.944838
2024-09-29,158.55,152.86,158.92,151.83,8247143.806808
2024-09-28,163.96,158.55,165.64,157.09,6403773.891692
2024-09-27,164.04,164.05,165.17,160.96,7596351.929917
2024-09-26,165.97,164.04,167.52,162.84,6819368.584393
2024-09-25,169.33,165.91,169.96,164.76,5358335.242889
2024-09-24,171.77,169.31,172.02,165.57,7329035.554778
2024-09-23,176.45,171.79,176.78,171,7918400.7540102544
2024-09-22,176.92,176.43,177.49,173.72,6356442.59314
2024-09-21,175.44,176.95,179.63,171,6956712.499389
2024-09-20,175.6,175.52,179.44,174.99,8557228.121421
2024-09-19,171.19,175.58,179.2,170,7785642.633511
