date,open,high,low,close,volume
2024-10-22 23:00:00,156.53,157.92,158.72,156.04,542675.137606
2024-10-22 19:00:00,158.54,156.52,158.54,155.93,838319.871392
2024-10-22 15:00:00,156.91,158.54,158.97,154.62,1045382.482449
2024-10-22 11:00:00,156.93,157.01,158.29,155.94,866293.776094
2024-10-22 07:00:00,156.82,156.96,157.68,156.75,394286.13063
2024-10-22 03:00:00,155.1,156.82,158.8,155.1,1124950.975877
2024-10-21 23:00:00,155.18,155.04,155.78,153.86,1197495.506527
2024-10-21 19:00:00,154.04,155.14,155.49,153.87,1040648.0047618344
2024-10-21 15:00:00,158.33,153.78,158.88,153.26,2205207.412409
2024-10-21 11:00:00,162.7,158.23,163.14,157.36,1292097.088101
2024-10-21 07:00:00,161.91,162.7,163.5,161.43,632559.56723
2024-10-21 03:00:00,163.29,161.92,163.83,161.3,922178.424694
2024-10-20 23:00:00,160.59,163.52,163.57,159.64,964941.756071
2024-10-20 19:00:00,161.45,160.62,162.04,160.26,869508.428946
2024-10-20 15:00:00,160.49,161.45,162.58,159.77,897835.7205452501
2024-10-20 11:00:00,160.5,160.59,160.76,159.94,327614.855737
2024-10-20 07:00:00,159.26,160.5,161.3,159.01,480132.944045
2024-10-20 03:00:00,160.54,159.21,160.8,158.93,303861.796963
2024-10-19 23:00:00,161.99,160.58,162.26,159.16,1005825.435219
2024-10-19 19:00:00,161.16,161.97,162.68,160.2,510909.238058
2024-10-19 15:00:00,161.11,161.08,161.88,160.55,649420.089127
2024-10-19 11:00:00,161.55,161.15,162.25,160.75,735343.686944
2024-10-19 07:00:00,160.23,161.41,161.75,159.51,478562.7484
2024-10-19 03:00:00,159.69,160.36,161.05,157.68,728964.8468904092
2024-10-18 23:00:00,159.08,159.69,161.49,158.38,1713652.991146
2024-10-18 19:00:00,160,159.1,160.41,158.42,1162943.553185
2024-10-18 15:00:00,159.99,159.98,164.78,159.13,2227627.1957706205
2024-10-18 11:00:00,158.52,159.99,161.42,157.67,1425952.422791
2024-10-18 07:00:00,158.25,158.54,159.64,157.3,1062442.697829
2024-10-18 03:00:00,157.86,158.18,159.53,156.94,774903.675492
2024-10-17 23:00:00,156.17,157.8,159.38,155.59,1572621.2456742956
2024-10-17 19:00:00,156.65,156.19,156.75,155.18,876353.900856
2024-10-17 15:00:00,155.53,156.65,156.98,154.12,1254482.682812
2024-10-17 11:00:00,157.1,155.48,157.75,155.24,1076282.729536125
2024-10-17 07:00:00,158.13,157.09,158.63,156.89,636990.089452
2024-10-17 03:00:00,155.83,158.15,158.82,155.79,667686.585569
2024-10-16 23:00:00,157.9,155.78,158.62,155.13,915217.368904
2024-10-16 19:00:00,158.4,157.85,159.65,157.72,1133790.6189488313
2024-10-16 15:00:00,154.72,158.52,158.73,154.25,849613.924888
2024-10-16 11:00:00,153.78,154.75,155.64,153.42,572226.950242
2024-10-16 07:00:00,154.28,153.79,155.04,153.31,502860.980408
2024-10-16 03:00:00,153.3,154.36,155.17,153.05,493451.8231637969
2024-10-15 23:00:00,153.71,153.27,154.81,151.35,1424733.7057779526
2024-10-15 19:00:00,155.13,153.66,157,153.28,816995.608001
2024-10-15 15:00:00,154.92,155.07,157.72,153.6,1358586.958584
2024-10-15 11:00:00,157.63,154.81,159.3,154.73,1151431.349494
2024-10-15 07:00:00,156.29,157.66,158.18,155.78,670243.759357
2024-10-15 03:00:00,156.99,156.25,159.17,155.5,614733.664131
2024-10-14 23:00:00,154.96,156.8,158.88,154.36,967866.565239
2024-10-14 19:00:00,156.15,154.91,156.32,154.3,673521.1237
2024-10-14 15:00:00,155.27,156.19,157.56,154.1,1023865.88806
2024-10-14 11:00:00,152.94,155.15,156.56,152.87,1323540.238514
2024-10-14 07:00:00,152,152.91,153.03,151.41,600042.628586
2024-10-14 03:00:00,148.79,152.06,152.12,148.47,509034.624248
2024-10-13 23:00:00,150.6,148.81,151.16,148.22,402099.075196588
2024-10-13 19:00:00,150.98,150.72,152.62,150.5,843163.050215694
2024-10-13 15:00:00,150.74,150.99,152.67,150.39,576609.032480215
2024-10-13 11:00:00,152.01,150.8,152.29,150.58,338395.461048
2024-10-13 07:00:00,151.63,152,152.42,151.52,290276.313095
2024-10-13 03:00:00,150.36,151.59,152.37,150.36,272520.608964
2024-10-12 23:00:00,151.9,150.45,152.41,150.09,739394.653534387
2024-10-12 19:00:00,153.51,151.89,154.05,151.61,929057.366414
2024-10-12 15:00:00,152.39,153.49,154.31,152.01,779856.720787
2024-10-12 11:00:00,152.77,152.36,153.49,152.05,741127.726156
